Name,ra,dec,teff,eteff,logg,elogg,F,eF,vsini,evsini,RHKp,dRHKp,vsinflag,snr,RVflag,metflag
CD-561433,92.5965685,-56.37991,6316.3,145.99,3.97203,0.0904797,-0.1,0.12,2.0,0.0,4.665344123349629E-5,3.1917514851785734E-6,1,114.1623898225681,0,0
CD-564581,189.90893,-57.52748,5273.0,129.421,4.17383,0.0859044,0.0,0.5,2.0,0.0,1.2266164496300413E-4,1.0456874486427115E-5,1,82.08605545401728,0,1
CD-567708,291.493269,-56.56269,5612.0,133.318,4.42232,0.0813579,0.0,0.5,2.0,0.0,8.731948276906548E-5,6.609838876458405E-6,1,105.47532649866505,0,1
CD-57105,7.97499,-56.966170000000005,5999.7,50.0,4.501,0.01,-0.89,0.1,2.0,0.0,-8.363570333935782E-6,1.958566950142908E-6,1,95.0705067305313,0,0
CD-584411,182.42418,-58.91325,4946.1,50.0,3.756,0.01,-1.0,0.1,2.0,0.0,2.1393095155719527E-4,8.362192696126829E-6,1,238.47000000000003,0,0
CD-601144,80.105565,-59.89661,5200.4,50.0,4.369,0.077,0.18,0.043,3.266,0.22,3.0334546497022523E-5,1.0746838508285968E-6,0,258.01605117326216,0,0
CD-601348,90.98264950000001,-60.66779,5081.5,50.0,4.318,0.086,-0.1,0.043,2.672,0.224,1.229411824356446E-5,3.630050420628495E-7,0,172.93397584049242,0,0
CD-60370,28.631287,-59.51025,5851.9,50.0,4.278,0.098,-0.23,0.052,3.099,0.673,1.7909491950334647E-5,1.1263341616619002E-6,0,34.236870962944806,0,0
CD-611276,91.7990925,-61.9988,5319.5,50.0,4.441,0.053,-0.23,0.046,2.382,0.275,6.9226723371700424E-6,1.857526170144905E-7,0,601.0894735680995,0,0
CD-61970,72.693451,-60.90548,6197.0,52.16,4.247,0.07,0.04,0.093,2.0,0.0,1.1501475890308657E-5,4.6428717203611843E-7,1,201.80555029923963,0,0
CD-691055,194.61815,-70.47901,4876.0,121.412,4.01177,0.0867134,0.0,0.5,2.0,0.0,1.8959696081147936E-4,4.4935909136922384E-5,1,23.05,0,1
